NAME,TEAM,POS,P+R,P+A,P+R+A,VI,ORtg,DRtg,TS%,eFG%,USG%,TO%
Malcolm Cazalon,Det,G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Malik Beasley,Mil,G,14.9,12.6,16.3,5.2,116.9,112.8,0.603,0.598,14.6,7.0
Malik Monk,Sac,G,18.4,20.6,23.5,9.4,113.1,111.4,0.564,0.526,25.9,14.4
Malik Williams,Tor,C,8.1,3.0,8.4,4.3,78.3,104.8,0.272,0.279,15.2,8.1
Mamadi Diakite,San,F,5.0,4.7,5.7,10.6,167.1,115.8,0.785,0.8,20.2,0.0
Maozinha Pereira,Mem,F,12.1,7.1,12.4,5.1,116.2,106.3,0.609,0.586,15.7,12.4
MarJon Beauchamp,Mil,F,6.5,5.0,7.1,5.6,111.1,110.2,0.592,0.578,14.6,14.0
Marcus Morris Sr.,Phi,F,9.6,7.4,10.3,5.6,112.2,108.1,0.559,0.527,16.3,8.5
Marcus Sasser,Det,G,10.0,11.6,13.3,7.7,108.3,115.3,0.542,0.516,19.9,14.9
Marcus Smart,Mem,G,17.1,18.8,21.4,7.3,100.1,108.8,0.552,0.519,23.0,20.7
Mark Williams,Cha,C,22.4,13.9,23.6,7.9,137.3,110.1,0.675,0.649,17.1,10.1
Markelle Fultz,Orl,G,11.0,10.6,13.8,7.8,105.7,107.4,0.492,0.479,18.8,13.3
Markieff Morris,Dal,F,4.0,3.2,4.7,6.3,92.3,112.7,0.467,0.449,16.4,14.9
Markquis Nowell,Tor,G,4.0,4.0,6.0,22.9,0.0,0.0,0.532,0.0,22.9,0.0
Marques Bolden,Cha,C,7.7,4.6,8.1,5.5,135.1,113.8,0.691,0.68,11.1,10.6
Marvin Bagley III,Was,F,21.3,14.4,22.5,8.4,122.6,115.0,0.622,0.599,20.9,11.7
Mason Jones,Sac,G,2.4,2.4,3.4,8.1,92.9,106.6,0.394,0.375,16.8,19.6
Mason Plumlee,Lac,F-C,10.4,6.5,11.6,8.7,124.1,104.9,0.621,0.569,15.1,19.0
Matisse Thybulle,Por,F,7.5,6.8,8.9,4.4,110.5,114.0,0.537,0.524,10.6,11.2
Matt Hurt,Mem,F,6.0,4.5,6.5,4.5,103.8,113.7,0.453,0.426,14.2,5.5
Matt Ryan,Nor,F,6.9,6.1,7.5,4.8,113.5,110.2,0.638,0.615,15.4,14.3
Max Christie,Lal,G,6.4,5.1,7.3,5.7,105.0,112.5,0.544,0.515,13.5,12.7
Max Strus,Cle,F,17.0,16.2,21.1,7.7,111.8,108.8,0.553,0.533,17.4,13.3
Maxi Kleber,Dal,C,7.8,6.0,9.3,5.6,118.1,109.9,0.573,0.541,9.6,16.1
Maxwell Lewis,Lal,F,0.4,0.5,0.6,2.4,0.0,0.0,0.246,0.214,13.6,32.0
Micah Potter,Uta,C,6.0,3.7,6.4,5.3,121.5,115.0,0.609,0.588,10.9,11.0
Michael Porter Jr.,Den,F,23.7,18.2,25.2,7.1,117.0,110.7,0.601,0.586,20.7,7.9
Mikal Bridges,Bro,F,24.1,23.2,27.8,7.8,111.8,116.5,0.56,0.521,24.2,11.2
Mike Conley,Min,G,14.3,17.3,20.2,8.0,129.3,107.9,0.626,0.595,16.0,13.7
Mike Muscala,Was,F-C,7.1,4.9,8.0,6.6,100.3,114.4,0.481,0.444,14.3,15.0
Miles Bridges,Cha,F,28.3,24.3,31.7,8.5,108.5,117.9,0.556,0.527,24.7,10.2
Miles McBride,Nyk,G,9.7,9.9,11.4,5.7,126.2,109.6,0.59,0.572,16.4,6.2
Mitchell Robinson,Nyk,C,14.1,6.2,14.6,4.9,122.6,106.8,0.554,0.575,10.2,17.0
Mo Bamba,Phi,C,8.6,5.2,9.3,7.2,114.9,100.6,0.575,0.553,15.1,16.4
Monte Morris,Min,G,6.7,7.3,9.0,7.2,124.8,110.1,0.537,0.521,14.4,4.0
Moritz Wagner,Orl,F-C,15.2,12.1,16.4,8.7,125.7,102.2,0.677,0.637,22.8,15.0
Moses Brown,Por,C,7.3,3.7,7.6,7.0,101.5,103.5,0.477,0.508,19.1,14.4
Moses Moody,Gol,G,11.0,8.9,11.9,6.4,116.4,110.9,0.578,0.548,18.4,9.5
Mouhamadou Gueye,Tor,F,4.5,2.8,4.9,5.0,67.2,110.1,0.31,0.289,19.2,23.9
Mouhamed Gueye,Atl,F,7.7,4.7,8.3,7.2,118.1,100.3,0.468,0.413,15.2,4.1
Moussa Diabate,Lac,F,4.9,3.0,5.3,9.2,135.9,109.5,0.576,0.526,18.6,9.4
Myles Turner,Ind,C,24.0,18.4,25.3,7.9,119.7,109.7,0.626,0.587,23.4,10.7
Naji Marshall,Nor,F,10.7,9.0,12.6,7.7,114.4,108.0,0.576,0.542,16.3,15.0
Nassir Little,Pho,F-G,5.0,3.8,5.5,5.6,114.0,109.8,0.572,0.544,13.9,10.1
Nate Hinton,Hou,G-F,3.7,2.9,4.3,10.6,127.0,98.8,0.585,0.558,17.8,10.2
Nate Williams,Hou,G,3.9,3.2,4.2,6.5,117.7,110.7,0.565,0.56,19.6,7.4
Nathan Mensah,Cha,C,3.9,1.7,4.3,3.6,103.3,100.9,0.496,0.429,6.8,33.1
Naz Reid,Min,C-F,18.7,14.8,20.0,7.4,110.9,102.2,0.595,0.576,23.1,11.5
Neemias Queta,Bos,C,9.9,6.2,10.6,8.6,137.6,96.1,0.662,0.644,16.9,11.1
Nic Claxton,Bro,C,21.8,13.9,23.9,8.4,123.5,108.0,0.629,0.63,15.6,13.8
Nick Richards,Cha,C,17.8,10.5,18.6,6.0,133.8,111.1,0.717,0.691,13.3,16.2
Nick Smith Jr.,Cha,G,7.3,7.1,8.5,6.0,98.8,118.0,0.511,0.5,20.3,11.9
Nickeil Alexander-Walker,Min,F,10.0,10.5,12.5,5.8,115.3,106.9,0.578,0.56,14.8,12.4
Nicolas Batum,Phi,G-F,9.7,7.6,11.9,5.7,126.1,111.2,0.606,0.599,8.7,13.6
Nikola Jokic,Den,C,38.8,35.4,47.7,16.6,130.7,104.8,0.65,0.612,29.3,14.4
Nikola Jovic,Mia,F,11.8,9.6,13.8,8.2,113.2,103.9,0.583,0.568,17.1,13.0
Nikola Vucevic,Chi,C,28.6,21.4,31.9,10.0,113.5,110.2,0.541,0.522,23.3,9.1
Noah Clowney,Bro,F,9.3,6.6,10.1,6.3,121.4,112.5,0.626,0.602,14.2,13.8
Norman Powell,Lac,G,16.5,15.0,17.5,5.2,120.3,113.6,0.626,0.594,20.0,7.9
OG Anunoby,Tor,F,19.1,17.8,21.7,6.6,112.6,116.2,0.598,0.584,18.2,11.8
Obi Toppin,Ind,F,14.2,11.9,15.8,7.6,128.8,114.4,0.677,0.661,16.8,10.6
Ochai Agbaji,Tor,G,10.0,8.0,11.4,5.2,94.6,115.2,0.453,0.432,15.4,14.0
Olivier Sarr,Okc,C,4.7,2.4,4.8,5.0,135.0,94.2,0.664,0.632,12.6,13.5
Olivier-Maxence Prosper,Dal,F,5.0,3.6,5.6,7.3,113.0,112.4,0.496,0.447,16.6,7.1
Omer Yurtseven,Uta,C,9.0,5.2,9.6,8.0,110.1,111.2,0.565,0.552,17.9,16.7
Onuralp Bitim,Chi,F,4.9,4.0,5.4,4.9,94.3,112.9,0.464,0.452,15.8,10.6
Onyeka Okongwu,Atl,F-C,17.0,11.5,18.4,7.0,135.9,110.2,0.674,0.642,13.7,11.0
Orlando Robinson,Mia,C,5.1,3.7,6.0,8.6,119.9,101.6,0.596,0.556,14.8,19.9
Oscar Tshiebwe,Ind,F-C,5.3,3.5,5.5,9.7,131.4,112.8,0.553,0.5,23.5,0.0
Oshae Brissett,Bos,F-G,6.6,4.5,7.4,7.1,120.4,105.4,0.53,0.493,14.5,11.5
Otto Porter Jr.,Tor,F,4.5,3.1,5.1,4.7,122.1,110.7,0.568,0.545,8.9,5.6
Ousmane Dieng,Okc,F,5.6,5.2,6.7,6.8,107.4,111.9,0.54,0.513,16.9,14.0
P.J. Tucker,Phi,F,6.7,2.0,6.7,0.0,87.1,100.6,0.6,0.6,4.6,28.6
P.J. Washington,Cha,F,18.9,15.8,21.1,7.4,106.2,113.7,0.545,0.524,21.2,11.5
Paolo Banchero,Orl,F,29.5,27.9,34.9,10.8,108.9,108.6,0.546,0.497,29.7,14.9
Pascal Siakam,Tor,F,28.5,27.0,33.3,10.1,118.5,115.6,0.6,0.559,25.3,11.8
Pat Connaughton,Mil,G,8.8,7.8,10.9,6.0,120.4,113.7,0.574,0.553,10.8,12.4
Pat Spencer,Gol,G,1.3,1.5,2.2,6.8,127.5,118.6,0.5,0.5,8.2,20.0
Patrick Baldwin,Was,F,7.7,5.2,8.4,6.9,100.5,109.2,0.504,0.481,15.9,10.9
Patrick Beverley,Phi,G,9.3,9.3,12.4,8.0,114.7,109.0,0.547,0.504,14.9,16.9
Patrick Williams,Chi,F,13.8,11.5,15.4,5.7,107.2,112.8,0.553,0.525,16.6,13.7
Patty Mills,Mia,G,7.0,7.4,8.5,5.3,96.3,108.4,0.448,0.406,19.4,9.0
Paul George,Lac,G,27.8,26.1,31.4,8.8,118.7,109.4,0.613,0.569,26.6,11.0
Paul Reed,Phi,F,13.3,8.6,14.6,7.9,121.5,102.2,0.58,0.561,15.9,12.2
Payton Pritchard,Bos,G,12.8,13.0,16.3,8.4,128.8,110.5,0.597,0.583,17.2,8.8
Pete Nance,Cle,F,0.8,0.4,0.8,0.0,0.0,0.0,0.218,0.25,12.7,14.3
Peyton Watson,Den,G,9.9,7.7,11.0,6.2,107.8,106.9,0.538,0.515,16.2,11.5
Precious Achiuwa,Tor,F,13.2,9.5,14.9,9.6,105.9,110.2,0.512,0.497,21.2,14.6
Quentin Grimes,Nyk,G,9.2,8.4,10.4,5.1,115.2,110.1,0.543,0.53,15.3,6.8
Quenton Jackson,Ind,G,2.0,1.3,2.7,9.8,0.0,0.0,0.532,0.0,7.5,0.0
R.J. Hampton,Mia,G,2.0,2.3,3.0,4.3,84.6,107.8,0.336,0.321,10.5,17.4
RJ Barrett,Tor,F,28.1,25.8,32.2,9.9,114.2,113.9,0.614,0.599,25.7,13.8
RaiQuan Gray,San,F,10.0,9.7,12.0,10.1,135.5,121.0,0.676,0.676,19.5,5.6
Rayan Rupert,Por,G-F,6.3,5.6,7.9,6.1,97.6,113.5,0.451,0.422,13.6,16.1
Reggie Bullock Jr.,Hou,G-F,3.8,2.5,4.2,4.4,111.8,109.4,0.582,0.579,9.4,10.8
Reggie Jackson,Den,G,12.0,13.9,15.8,7.6,108.7,111.0,0.521,0.499,21.7,12.3
Richaun Holmes,Was,F,13.2,7.7,13.8,6.3,123.5,108.3,0.608,0.563,14.8,12.0
Ricky Council IV,Phi,G,6.8,5.9,7.3,6.9,129.0,112.9,0.604,0.536,22.2,4.3
Robert Covington,Phi,F,8.0,5.2,8.6,5.5,124.0,102.3,0.593,0.545,11.4,11.0
Robert Williams III,Por,C-F,13.2,7.7,14.0,6.6,120.7,101.1,0.684,0.654,13.2,21.0
Robin Lopez,Mil,C,1.4,1.4,1.7,4.6,100.1,111.0,0.453,0.421,14.6,9.3
Ron Harper Jr.,Tor,F,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Royce O'Neale,Pho,F,13.3,10.9,16.1,7.7,118.6,109.1,0.555,0.549,13.9,9.3
Rudy Gobert,Min,C,26.9,15.3,28.2,7.2,130.4,99.7,0.675,0.661,15.4,16.1
Rui Hachimura,Lal,F,17.9,14.8,19.1,6.2,121.6,113.1,0.629,0.61,18.4,6.4
Russell Westbrook,Lac,G,16.1,15.6,20.6,11.2,106.8,108.6,0.514,0.486,25.2,17.8
Ryan Arcidiacono,Nyk,G,0.4,0.2,0.6,0.0,0.0,0.0,0.0,0.0,7.6,25.0
Ryan Rollins,Was,G,5.2,5.2,6.3,10.3,115.2,107.6,0.631,0.56,25.2,21.6
Saben Lee,Pho,G,4.3,4.2,5.5,8.9,114.7,110.9,0.492,0.382,18.8,12.6
Saddiq Bey,Atl,F,20.2,15.2,21.7,6.3,119.3,119.1,0.549,0.497,17.0,7.2
Sam Hauser,Bos,F,12.5,10.1,13.5,5.7,126.2,109.7,0.629,0.623,15.0,5.4
Sam Merrill,Cle,G,9.9,9.7,11.7,7.0,124.8,111.4,0.598,0.584,17.5,4.6
Sandro Mamukelashvili,San,F-C,7.3,5.2,8.4,9.9,119.1,110.7,0.562,0.536,17.5,10.4
Santi Aldama,Mem,F-C,16.5,13.0,18.8,7.9,108.6,112.0,0.539,0.528,17.9,10.8
Sasha Vezenkov,Sac,F,7.6,5.8,8.1,6.0,116.2,109.8,0.569,0.558,17.5,5.9
Scoot Henderson,Por,G,17.1,19.4,22.5,8.7,96.9,111.3,0.489,0.44,26.5,21.0
Scottie Barnes,Tor,F-G,28.1,25.9,34.2,11.4,113.6,114.9,0.566,0.528,24.8,14.9
Scotty Pippen Jr.,Mem,G,16.1,17.6,20.8,9.2,110.2,105.6,0.596,0.567,23.1,21.6
Seth Curry,Cha,G,11.0,10.8,12.8,6.4,114.3,120.3,0.56,0.517,19.3,7.8
Seth Lundy,Atl,G,2.3,1.6,2.3,0.0,81.8,112.7,0.373,0.324,15.8,5.5
Shaedon Sharpe,Por,G,20.9,18.9,23.9,7.4,104.7,113.5,0.524,0.475,22.4,14.2
Shai Gilgeous-Alexander,Okc,G,35.6,36.3,41.8,11.9,128.6,107.7,0.636,0.567,32.9,9.8
Shake Milton,Det,G-F,11.3,8.3,12.8,9.1,107.4,116.2,0.494,0.481,20.5,10.2
Shaquille Harrison,Mem,G,1.3,0.7,1.3,0.0,0.0,0.0,0.5,0.5,14.3,0.0
Sidy Cissoko,San,G,5.6,4.6,6.4,6.0,123.3,106.6,0.568,0.5,12.8,8.3
Simone Fontecchio,Det,F,19.8,17.2,21.6,6.5,118.1,116.5,0.613,0.592,19.2,8.2
Skylar Mays,Por,G,8.1,9.9,11.7,8.1,106.8,116.8,0.457,0.435,19.5,11.5
Spencer Dinwiddie,Bro,G,15.9,18.6,21.9,8.2,118.6,115.2,0.53,0.48,18.6,11.0
Stanley Umude,Det,G,7.4,5.8,7.9,5.5,119.5,108.3,0.647,0.583,15.6,14.2
Stephen Curry,Gol,G,30.9,31.6,36.0,10.4,118.9,114.9,0.616,0.573,31.3,12.7
Svi Mykhailiuk,Bos,G-F,5.2,4.8,6.0,6.5,119.1,111.8,0.575,0.569,16.1,8.0
T.J. McConnell,Ind,G,12.9,15.7,18.4,11.7,120.6,115.5,0.586,0.572,23.6,15.4
T.J. Warren,Min,F,5.7,4.5,6.5,6.4,102.5,103.4,0.479,0.463,16.6,8.8
Taj Gibson,Det,F,6.8,5.0,7.3,7.1,135.4,113.2,0.643,0.643,15.3,0.0
Talen Horton-Tucker,Uta,G,12.5,13.6,16.0,8.9,108.3,113.9,0.503,0.46,24.0,12.3
Tari Eason,Hou,F,16.7,11.0,18.0,8.0,110.5,101.2,0.528,0.513,19.8,9.6
Taurean Prince,Lal,F,11.9,10.5,13.4,5.0,107.8,112.2,0.579,0.566,13.8,11.3
Taylor Hendricks,Uta,F,11.9,8.1,12.7,5.6,115.8,113.2,0.578,0.56,13.7,10.1
Taze Moore,Por,G,6.5,5.8,7.8,9.0,97.2,110.7,0.453,0.447,24.2,13.5
Terance Mann,Lac,G-F,12.2,10.4,13.7,5.8,126.6,112.6,0.615,0.587,13.6,8.9
Terquavion Smith,Phi,G,3.5,4.0,4.3,7.0,103.4,107.0,0.539,0.533,28.2,13.1
Terry Rozier,Cha,G,27.1,29.8,33.7,9.5,116.2,119.5,0.574,0.535,27.8,10.6
Terry Taylor,Chi,F,2.7,1.8,3.0,5.3,116.2,111.2,0.558,0.538,11.3,15.1
Thaddeus Young,Tor,F,8.2,7.1,10.4,8.7,131.5,109.5,0.618,0.626,12.6,11.2
Thanasis Antetokounmpo,Mil,F,1.3,1.4,1.8,4.9,92.0,104.1,0.518,0.533,12.5,31.8
Theo Maledon,Cha,G,5.9,6.3,8.1,6.6,82.5,114.4,0.379,0.326,19.1,18.4
Thomas Bryant,Mia,C-F,9.4,6.3,10.0,8.0,124.5,101.6,0.639,0.591,19.3,12.3
Tim Hardaway Jr.,Dal,G-F,17.6,16.2,19.4,6.5,109.4,115.0,0.542,0.51,22.6,6.6
Timmy Allen,Mem,F,6.0,3.6,7.0,3.3,72.5,103.9,0.272,0.261,8.9,7.9
Tobias Harris,Phi,F,23.7,20.3,26.8,8.3,118.0,112.4,0.576,0.535,20.7,8.9
Torrey Craig,Chi,F,9.8,6.8,10.9,6.0,118.0,108.4,0.568,0.55,12.5,11.3
Tosan Evbuomwan,Det,F,10.5,7.8,11.3,4.8,127.9,116.7,0.679,0.661,10.9,12.4
Toumani Camara,Por,F,12.4,8.8,13.7,5.7,109.0,110.7,0.547,0.516,13.8,16.1
Trae Young,Atl,G,28.5,36.5,39.3,10.2,117.4,118.3,0.585,0.516,30.5,18.9
Trayce Jackson-Davis,Gol,F,13.0,9.1,14.2,8.7,134.3,107.4,0.692,0.702,16.4,12.9
Tre Jones,San,G,13.8,16.2,20.0,8.9,122.9,116.3,0.59,0.557,15.2,16.1
Tre Mann,Cha,G,16.4,17.1,21.5,8.4,109.8,116.6,0.552,0.524,18.2,16.9
Trendon Watford,Bro,F,9.9,8.1,11.2,8.9,114.8,105.3,0.611,0.571,21.1,16.8
Trent Forrest,Atl,G,3.5,4.6,5.9,7.0,109.0,117.6,0.426,0.389,11.8,18.1
Trevelin Queen,Orl,G,4.3,4.1,5.6,5.9,101.1,105.1,0.462,0.408,13.3,15.4
Trey Jemison,Mem,C,13.3,8.6,14.4,6.0,110.6,106.5,0.582,0.551,13.6,20.0
Trey Lyles,Sac,F,11.7,8.5,12.9,6.7,119.9,111.2,0.596,0.576,14.4,10.6
Trey Murphy III,Nor,F,19.7,16.9,21.9,7.3,126.5,112.2,0.612,0.579,18.6,5.2
Tristan Thompson,Cle,C-F,6.8,4.3,7.9,8.1,118.1,103.8,0.567,0.613,13.7,19.6
Tristan Vukcevic,Was,F,12.1,9.8,13.4,8.9,106.2,102.5,0.554,0.507,23.8,12.9
Troy Brown Jr.,Min,G-F,6.1,5.1,7.1,7.0,117.8,106.8,0.603,0.572,15.7,13.2
Ty Jerome,Cle,G-F,2.5,3.5,4.0,6.2,110.9,107.5,0.5,0.5,14.9,20.0
TyTy Washington Jr.,Mil,G,1.7,1.7,2.2,5.4,80.6,117.4,0.35,0.35,17.0,9.1
Tyler Herro,Mia,G,26.1,25.3,30.6,9.5,108.2,110.7,0.558,0.531,27.8,11.2
Tyrese Haliburton,Ind,G,24.1,31.0,35.0,11.8,128.2,120.0,0.605,0.57,24.6,13.2
Tyrese Maxey,Phi,G,29.6,32.1,35.8,9.0,120.9,113.9,0.573,0.524,28.0,7.6
Tyus Jones,Was,G,14.7,19.3,22.0,8.4,126.2,122.7,0.578,0.569,16.3,9.0
Udoka Azubuike,Pho,C-F,4.2,2.4,4.4,5.4,117.4,101.7,0.609,0.696,12.6,14.8
Usman Garuba,Gol,F,1.7,0.7,1.8,6.6,0.0,0.0,0.218,0.167,21.0,24.3
Vasilije Micic,Cha,G,12.9,17.0,19.1,7.6,107.1,119.8,0.532,0.495,20.3,20.0
Victor Wembanyama,San,F,32.1,25.3,35.9,12.9,104.1,107.9,0.565,0.519,32.2,18.0
Vince Williams Jr.,Mem,G,15.6,13.4,19.0,8.3,114.3,107.6,0.597,0.55,15.8,19.5
Vit Krejci,Atl,G,8.5,8.4,10.8,5.3,121.6,115.3,0.633,0.625,9.7,16.1
Walker Kessler,Uta,C,15.6,9.0,16.5,6.5,125.2,112.5,0.663,0.66,12.8,15.9
Wendell Carter Jr.,Orl,C,17.9,12.7,19.6,7.9,121.8,104.5,0.623,0.6,17.2,13.8
Wendell Moore Jr.,Min,G,1.2,1.0,1.4,5.5,0.0,0.0,0.5,0.5,12.9,18.2
Wenyen Gabriel,Mem,F,8.4,4.0,9.0,5.4,67.5,102.9,0.351,0.386,17.1,26.7
Wesley Matthews,Atl,G,4.5,3.7,5.2,4.9,111.9,111.8,0.511,0.474,11.7,7.6
Xavier Moon,Lac,G,3.6,3.9,5.1,7.9,94.7,113.8,0.352,0.348,19.1,9.8
Xavier Tillman,Mem,C,10.6,7.7,12.3,7.0,97.8,107.4,0.44,0.437,16.0,12.0
Yuta Watanabe,Pho,G-F,5.1,3.9,5.4,3.6,96.2,110.6,0.502,0.485,13.6,14.1
Zach Collins,San,C,16.6,14.1,19.4,10.0,107.7,105.7,0.565,0.531,22.6,17.6
Zach LaVine,Chi,G,24.6,23.4,28.5,8.4,113.3,113.4,0.578,0.531,23.8,12.1
Zavier Simpson,Mem,G,8.9,9.6,12.4,6.9,86.6,111.8,0.377,0.361,17.5,15.5
Zeke Nnaji,Den,F-C,5.4,3.8,5.9,6.5,112.1,102.7,0.528,0.483,15.4,15.3
Ziaire Williams,Mem,F,11.8,9.7,13.2,6.9,98.6,109.6,0.511,0.474,19.7,14.9
Zion Williamson,Nor,F,28.7,27.9,33.7,11.1,118.8,108.8,0.61,0.573,29.7,15.0
